#{"t_start": 1602513567.555396, "env_id": null}
r,l,t
-500.0,500,1.369291
-500.0,500,1.864262
-500.0,500,3.731095
-500.0,500,5.256448
-500.0,500,6.6493
-500.0,500,8.057758
-500.0,500,9.41611
-500.0,500,10.776178
-500.0,500,12.143387
-500.0,500,13.524036
-500.0,500,14.905847
-500.0,500,16.28238
-500.0,500,18.209141
-500.0,500,19.608987
-500.0,500,20.959986
-500.0,500,22.310345
-442.0,443,23.512392
-135.0,136,23.883809
-278.0,279,24.641769
-254.0,255,25.337657
-144.0,145,25.732783
-152.0,153,26.142538
-184.0,185,26.646091
-500.0,500,31.320746
-134.0,135,31.692105
-500.0,500,33.070219
-500.0,500,34.439842
-202.0,203,34.992558
-147.0,148,35.396813
-129.0,130,35.750255
-126.0,127,36.097572
-148.0,149,36.504856
-219.0,220,37.109706
-140.0,141,37.493955
-143.0,144,37.888143
-158.0,159,38.32313
-181.0,182,38.819997
-165.0,166,39.273562
-133.0,134,39.639382
-118.0,119,39.964112
-173.0,174,40.436686
-109.0,110,40.737177
-142.0,143,41.130098
-198.0,199,41.675092
-149.0,150,42.08312
-108.0,109,42.382351
-153.0,154,42.804985
-96.0,97,43.070683
-152.0,153,43.490035
-103.0,104,43.772672
-160.0,161,44.210615
-101.0,102,44.491389
-103.0,104,44.776182
-79.0,80,44.994597
-154.0,155,45.428855
-148.0,149,45.834337
-320.0,321,46.717115
-123.0,124,47.05841
-198.0,199,47.617949
-193.0,194,48.148524
-142.0,143,48.550003
-87.0,88,48.791795
-125.0,126,49.136626
-147.0,148,49.551302
-78.0,79,49.772294
-170.0,171,50.241933
-113.0,114,50.554972
-98.0,99,50.840322
-101.0,102,51.122473
-122.0,123,51.460056
-282.0,283,52.251648
-500.0,500,53.638233
-500.0,500,55.026604
-500.0,500,56.410669
-500.0,500,57.808307
-396.0,397,63.989735
-500.0,500,65.375993
-109.0,110,65.678016
-103.0,104,65.963264
-74.0,75,66.170019
-137.0,138,66.537288
-90.0,91,66.784177
-137.0,138,67.164177
-92.0,93,67.421447
-136.0,137,67.798365
-128.0,129,68.153922
-146.0,147,68.560159
-95.0,96,68.824981
-130.0,131,69.187129
-131.0,132,69.551575
-160.0,161,69.996584
-132.0,133,70.361827
-103.0,104,70.649282
-97.0,98,70.927025
-95.0,96,71.212725
-81.0,82,71.455487
-233.0,234,72.153894
-70.0,71,72.363987
-64.0,65,72.557279
-71.0,72,72.770238
-95.0,96,73.05146
-72.0,73,73.266763
-79.0,80,73.498091
-100.0,101,73.796264
-108.0,109,74.115035
-84.0,85,74.362939
-106.0,107,74.672861
-89.0,90,74.934806
-178.0,179,75.45823
-126.0,127,75.828733
-92.0,93,76.100121
-76.0,77,76.3202
-101.0,102,76.617211
-97.0,98,76.903721
-143.0,144,77.320161
-83.0,84,77.565555
-173.0,174,78.08982
-77.0,78,78.317155
-116.0,117,78.658318
-94.0,95,78.933964
-121.0,122,79.288505
-78.0,79,79.517493
-88.0,89,79.775281
-111.0,112,80.101147
-79.0,80,80.333532
-111.0,112,80.658315
-69.0,70,80.863732
-83.0,84,81.107268
-74.0,75,81.323267
-104.0,105,81.628949
-82.0,83,81.871537
-83.0,84,82.113457
-88.0,89,82.370613
-91.0,92,82.634991
-82.0,83,82.872735
-143.0,144,83.289952
-74.0,75,83.504548
-85.0,86,83.752542
-103.0,104,84.05084
-74.0,75,84.265503
-73.0,74,84.473404
-102.0,103,84.763416
-90.0,91,85.019156
-91.0,92,85.278416
-87.0,88,85.544941
-89.0,90,85.810559
-83.0,84,86.046991
-104.0,105,86.339869
-87.0,88,86.584886
