#{"t_start": 1600175509.721128, "env_id": null}
r,l,t
16.0,16,0.710887
11.0,11,0.719344
13.0,13,0.877614
58.0,58,0.941772
27.0,27,0.969499
14.0,14,0.984017
22.0,22,1.009743
21.0,21,1.033134
16.0,16,1.050595
14.0,14,1.066622
17.0,17,1.088714
43.0,43,1.133989
14.0,14,1.150106
17.0,17,1.168326
20.0,20,1.191605
44.0,44,1.246645
27.0,27,1.280177
12.0,12,1.293215
21.0,21,1.315243
14.0,14,1.331302
25.0,25,1.358271
24.0,24,1.384152
27.0,27,1.413208
16.0,16,1.431032
63.0,63,1.496127
18.0,18,1.517682
13.0,13,1.530995
21.0,21,1.552531
21.0,21,1.576031
31.0,31,1.612148
20.0,20,1.638574
26.0,26,1.690747
11.0,11,1.712939
20.0,20,1.742172
11.0,11,1.762261
15.0,15,1.787865
35.0,35,1.840276
22.0,22,1.867811
23.0,23,1.898742
41.0,41,1.947557
26.0,26,1.978542
37.0,37,2.021304
17.0,17,2.039829
60.0,60,2.109432
12.0,12,2.122502
13.0,13,2.139522
35.0,35,2.177327
14.0,14,2.195248
26.0,26,2.224534
10.0,10,2.23684
70.0,70,2.316132
19.0,19,2.337927
15.0,15,2.35562
28.0,28,2.388877
9.0,9,2.398299
35.0,35,2.438346
30.0,30,2.472418
10.0,10,2.484903
35.0,35,2.526819
79.0,79,2.61589
61.0,61,2.686734
49.0,49,2.74188
49.0,49,2.798243
17.0,17,2.81788
41.0,41,2.865227
24.0,24,2.892368
75.0,75,2.977316
19.0,19,2.999881
13.0,13,3.014306
25.0,25,3.043108
16.0,16,3.060935
9.0,9,3.071465
20.0,20,3.093382
14.0,14,3.109046
24.0,24,3.135356
23.0,23,3.161663
21.0,21,3.185283
21.0,21,3.211457
45.0,45,3.260855
29.0,29,3.293149
32.0,32,3.327579
38.0,38,3.367977
31.0,31,3.399501
21.0,21,3.422836
21.0,21,3.443652
83.0,83,3.534807
27.0,27,3.563895
10.0,10,3.576915
17.0,17,3.595637
60.0,60,3.662297
118.0,118,3.79894
58.0,58,3.861198
20.0,20,3.884145
27.0,27,3.917349
39.0,39,3.961382
64.0,64,4.033878
26.0,26,4.062016
26.0,26,4.092987
41.0,41,4.137821
28.0,28,4.169229
70.0,70,4.247267
100.0,100,4.360657
14.0,14,4.377002
15.0,15,4.395451
53.0,53,4.454876
74.0,74,4.541955
106.0,106,4.667864
43.0,43,4.723802
62.0,62,4.798262
20.0,20,4.823685
16.0,16,4.842654
11.0,11,4.855873
58.0,58,4.924278
113.0,113,5.075763
12.0,12,5.088746
22.0,22,5.114952
88.0,88,5.21782
28.0,28,5.251171
94.0,94,5.359071
22.0,22,5.382237
