#{"t_start": 1601722181.65093, "env_id": null}
r,l,t
-200.0,200,1.894207
-200.0,200,2.34713
-200.0,200,2.802856
-200.0,200,3.260664
-200.0,200,3.715239
-200.0,200,4.172352
-200.0,200,4.62821
-200.0,200,5.080926
-200.0,200,5.538054
-200.0,200,5.991414
-200.0,200,6.44365
-200.0,200,6.905526
-200.0,200,7.360891
-200.0,200,7.822188
-200.0,200,8.276271
-200.0,200,8.740764
-200.0,200,9.198118
-200.0,200,9.659464
-200.0,200,10.114525
-200.0,200,10.574584
-200.0,200,11.03062
-200.0,200,11.488053
-200.0,200,11.945271
-200.0,200,12.407533
-200.0,200,12.869983
-200.0,200,13.32701
-200.0,200,13.786366
-200.0,200,14.246991
-200.0,200,14.707957
-200.0,200,15.166022
-200.0,200,15.626282
-200.0,200,16.082195
-200.0,200,16.544473
-200.0,200,17.003559
-200.0,200,17.463363
-200.0,200,17.922242
-200.0,200,18.380832
-200.0,200,18.84057
-200.0,200,19.302166
-200.0,200,19.762558
-200.0,200,20.223112
-200.0,200,20.683091
-200.0,200,21.143945
-200.0,200,21.604197
-200.0,200,22.062881
-200.0,200,22.524309
-200.0,200,22.987562
-200.0,200,23.453357
-200.0,200,23.916796
-200.0,200,24.377343
-200.0,200,27.52627
-200.0,200,27.988506
-200.0,200,28.450518
-200.0,200,28.918658
-200.0,200,29.377428
-200.0,200,29.836867
-200.0,200,30.296761
-200.0,200,30.760964
-200.0,200,31.239961
-200.0,200,31.724843
-200.0,200,32.272529
-200.0,200,32.931157
-200.0,200,33.382246
-200.0,200,33.845974
-200.0,200,34.305721
-200.0,200,34.757844
-200.0,200,35.237874
-200.0,200,35.703218
-200.0,200,36.142587
-200.0,200,36.581994
-200.0,200,37.019229
-200.0,200,37.457625
-200.0,200,37.900133
-200.0,200,38.337768
-200.0,200,38.778606
-200.0,200,39.218409
-200.0,200,39.658804
-200.0,200,40.098156
-200.0,200,40.536301
-200.0,200,40.974197
-200.0,200,41.411694
-200.0,200,41.852695
-200.0,200,42.290338
-200.0,200,42.728549
-200.0,200,43.16693
-200.0,200,43.608055
-200.0,200,44.049887
-200.0,200,44.490039
-200.0,200,44.931594
-200.0,200,45.370869
-200.0,200,45.841022
-200.0,200,46.316885
-200.0,200,46.830506
-200.0,200,47.310806
-200.0,200,47.765919
-200.0,200,48.223241
-200.0,200,48.678736
-200.0,200,49.127914
-200.0,200,49.582421
-200.0,200,50.034684
-200.0,200,50.988613
-200.0,200,51.454751
-200.0,200,51.907972
-200.0,200,52.366893
-200.0,200,52.820557
-200.0,200,53.274544
-200.0,200,53.736258
-200.0,200,54.197355
-200.0,200,54.64087
-200.0,200,55.088896
-200.0,200,55.537761
-200.0,200,55.987761
-200.0,200,56.435462
-200.0,200,56.916131
-200.0,200,57.392629
-200.0,200,57.92331
-200.0,200,58.378284
-200.0,200,58.827764
-200.0,200,59.276705
-200.0,200,59.727636
-200.0,200,60.17936
-200.0,200,60.640538
-200.0,200,61.103243
-200.0,200,61.550963
-200.0,200,62.00749
-200.0,200,62.453653
-200.0,200,62.922543
-200.0,200,63.387845
-200.0,200,63.836666
-200.0,200,64.289882
-200.0,200,64.737771
-200.0,200,65.210012
-200.0,200,65.686164
-200.0,200,66.149855
-200.0,200,66.639961
-200.0,200,67.122922
-200.0,200,67.597376
-200.0,200,68.062965
-200.0,200,68.52449
-200.0,200,68.990774
-200.0,200,69.438148
-200.0,200,69.88303
-200.0,200,70.324374
-200.0,200,70.770988
-200.0,200,71.217986
-200.0,200,71.662361
-200.0,200,72.101602
-200.0,200,72.542432
-200.0,200,72.98404
-200.0,200,73.422903
-200.0,200,74.277319
-200.0,200,74.718196
-200.0,200,75.159029
-200.0,200,75.599905
-200.0,200,76.064064
-200.0,200,76.557583
-139.0,139,76.878979
-175.0,175,77.271762
-120.0,120,77.545047
-200.0,200,77.984829
-200.0,200,78.432765
-200.0,200,78.873399
-200.0,200,79.3119
-106.0,106,79.548195
-200.0,200,79.989848
-200.0,200,80.430498
-200.0,200,80.866444
-200.0,200,81.29868
-200.0,200,81.732054
-200.0,200,82.209137
-200.0,200,82.65031
-200.0,200,83.097349
-200.0,200,83.537996
-200.0,200,83.96653
-200.0,200,84.379081
-200.0,200,84.814065
-200.0,200,85.23749
-200.0,200,85.649289
-200.0,200,86.063701
-200.0,200,86.496323
-200.0,200,86.974642
-200.0,200,87.458439
-194.0,194,87.915767
-200.0,200,88.373953
-163.0,163,88.748193
-158.0,158,89.109347
-175.0,175,89.532222
-179.0,179,89.972743
-100.0,100,90.208668
-200.0,200,90.667028
-200.0,200,91.183914
-181.0,181,91.605769
-200.0,200,92.046488
-134.0,134,92.337194
-189.0,189,92.7651
-200.0,200,93.221188
-200.0,200,93.679356
-200.0,200,94.173333
-174.0,174,94.605601
-200.0,200,95.063101
-200.0,200,95.514947
-168.0,168,95.900214
-182.0,182,96.312326
-94.0,94,106.393571
-91.0,91,106.60643
-116.0,116,106.880162
-200.0,200,107.372896
-105.0,105,107.631365
-178.0,178,108.050616
-86.0,86,108.256188
-108.0,108,108.54858
-176.0,176,109.01307
-115.0,115,109.318908
-109.0,109,109.616747
-104.0,104,109.8697
-90.0,90,110.092126
-156.0,156,110.469178
-112.0,112,110.719605
-126.0,126,111.000187
-110.0,110,111.253026
-116.0,116,111.508372
-111.0,111,111.753163
-102.0,102,111.975169
-200.0,200,112.408973
-200.0,200,112.845537
-200.0,200,113.285569
-132.0,132,113.583374
-200.0,200,114.040015
-144.0,144,114.468613
-146.0,146,114.807981
-200.0,200,115.268751
-151.0,151,115.616064
-200.0,200,116.069334
-200.0,200,116.549811
-136.0,136,116.880411
-124.0,124,117.163931
-200.0,200,117.633872
-127.0,127,117.937816
-109.0,109,118.186557
-148.0,148,118.515493
-137.0,137,118.821029
-164.0,164,119.185054
-135.0,135,119.494072
-147.0,147,119.811938
-135.0,135,120.104045
-115.0,115,120.351516
-125.0,125,120.625161
-195.0,195,121.045608
-125.0,125,121.325521
-104.0,104,121.550843
-200.0,200,121.99558
-200.0,200,122.436189
-200.0,200,122.886856
-200.0,200,123.333193
-188.0,188,123.721898
-200.0,200,124.140504
-122.0,122,124.428215
-200.0,200,124.857186
-200.0,200,125.267191
-91.0,91,125.460101
-146.0,146,125.756085
-140.0,140,126.059432
-200.0,200,126.52682
-108.0,108,126.847583
-200.0,200,127.365203
-153.0,153,127.711185
-200.0,200,128.165212
-144.0,144,128.491395
-200.0,200,128.944301
-147.0,147,129.27793
-142.0,142,129.905022
-200.0,200,130.382321
-200.0,200,130.836916
-200.0,200,131.263741
-180.0,180,131.649361
-200.0,200,132.10304
-144.0,144,132.438836
-153.0,153,132.792228
-152.0,152,133.135708
-148.0,148,133.471921
-200.0,200,133.924592
-174.0,174,134.319098
-153.0,153,134.667843
-200.0,200,135.18019
-159.0,159,135.668041
-90.0,90,135.911445
-137.0,137,136.256451
-92.0,92,136.453054
-104.0,104,136.690014
-200.0,200,137.13372
-150.0,150,137.457559
-137.0,137,137.760968
-142.0,142,138.066898
-200.0,200,138.54048
-200.0,200,138.981861
-163.0,163,139.367244
-94.0,94,139.596858
-157.0,157,139.953165
-154.0,154,140.296105
-92.0,92,140.493334
-166.0,166,140.866732
-94.0,94,141.070514
-153.0,153,141.40902
-180.0,180,141.808109
-90.0,90,142.011291
-98.0,98,142.224005
-200.0,200,142.656764
-165.0,165,143.020302
-180.0,180,143.424696
-86.0,86,143.6199
-97.0,97,143.835509
-102.0,102,144.080596
-92.0,92,144.289932
-200.0,200,144.757509
-154.0,154,145.108696
-87.0,87,145.310331
-199.0,199,145.80816
-144.0,144,146.15317
-154.0,154,146.512186
-200.0,200,146.976589
-149.0,149,147.340789
-133.0,133,147.642576
-86.0,86,147.832612
-200.0,200,148.27862
-159.0,159,148.619166
-94.0,94,148.819746
-138.0,138,149.116156
-162.0,162,149.462422
-91.0,91,149.655657
-155.0,155,149.986953
-149.0,149,150.303989
-87.0,87,150.499243
-156.0,156,150.838082
-83.0,83,151.014504
-184.0,184,151.421345
-89.0,89,151.613284
-150.0,150,151.947889
-161.0,161,152.298249
-148.0,148,152.862155
-97.0,97,153.073426
-124.0,124,153.345993
-200.0,200,153.779552
-154.0,154,154.113436
-94.0,94,154.316067
-200.0,200,154.796801
-146.0,146,155.114738
-154.0,154,155.45291
-154.0,154,155.784928
-95.0,95,155.989299
-153.0,153,156.348823
-149.0,149,156.679454
-151.0,151,157.012851
-85.0,85,157.193636
-152.0,152,157.537512
-148.0,148,157.870984
-87.0,87,158.06323
-200.0,200,158.516066
-87.0,87,158.71178
-146.0,146,159.040682
-152.0,152,159.37763
-88.0,88,159.568886
-90.0,90,159.772024
-200.0,200,160.235556
-155.0,155,160.57206
-92.0,92,160.770547
-147.0,147,161.096894
-87.0,87,161.286717
-114.0,114,161.552878
-149.0,149,161.886089
-147.0,147,162.20328
-118.0,118,162.461332
-153.0,153,162.792104
-146.0,146,163.123737
-89.0,89,163.326608
-85.0,85,163.51886
-94.0,94,163.767196
-140.0,140,164.11377
-85.0,85,164.29982
-89.0,89,164.491374
-94.0,94,164.698294
-86.0,86,164.883851
-142.0,142,165.193922
-92.0,92,165.395149
-90.0,90,165.592691
-143.0,143,165.904626
-147.0,147,166.231594
-93.0,93,166.443917
-85.0,85,166.629649
-97.0,97,166.847701
-153.0,153,167.183936
-157.0,157,167.532015
-87.0,87,167.730347
-151.0,151,168.068203
-200.0,200,168.502094
-147.0,147,168.830794
-142.0,142,169.152946
-88.0,88,169.346875
-163.0,163,169.701029
-88.0,88,169.893659
-153.0,153,170.234181
-84.0,84,170.424485
-139.0,139,170.73847
-94.0,94,170.94843
-153.0,153,171.277377
-145.0,145,171.601551
-147.0,147,171.923868
-86.0,86,172.111627
-94.0,94,172.326208
-169.0,169,172.695348
-169.0,169,173.074918
-200.0,200,173.510799
-142.0,142,173.817876
-167.0,167,174.190687
-163.0,163,174.541576
-162.0,162,175.152697
-91.0,91,175.360309
-89.0,89,175.554987
-171.0,171,175.934945
-91.0,91,176.132597
-144.0,144,176.537103
-96.0,96,176.812949
-144.0,144,177.152753
-154.0,154,177.518778
-88.0,88,177.735433
-180.0,180,178.134858
-130.0,130,178.431824
-155.0,155,178.774096
-151.0,151,179.106681
-86.0,86,179.294452
-92.0,92,179.52484
-156.0,156,179.875937
-86.0,86,180.068237
-93.0,93,180.283844
-154.0,154,180.627396
-151.0,151,180.95678
-200.0,200,181.404724
-120.0,120,181.676978
-86.0,86,181.871
-151.0,151,182.201415
-154.0,154,182.553438
-91.0,91,182.751457
-145.0,145,183.070537
-160.0,160,183.460682
-200.0,200,183.977094
-158.0,158,184.399847
-156.0,156,184.74512
-147.0,147,185.078298
-125.0,125,185.352305
-151.0,151,185.68243
-118.0,118,185.943324
-148.0,148,186.269402
-119.0,119,186.536788
-109.0,109,186.779482
-96.0,96,186.991527
-150.0,150,187.326247
-127.0,127,187.615258
-147.0,147,187.941282
-108.0,108,188.188931
-152.0,152,188.528884
-146.0,146,188.858765
-200.0,200,189.308673
-114.0,114,189.558575
-114.0,114,189.812903
-109.0,109,190.055562
-111.0,111,190.31896
-125.0,125,190.634614
-111.0,111,190.878099
-200.0,200,191.318705
-122.0,122,191.593002
-126.0,126,191.875676
-116.0,116,192.139673
-108.0,108,192.384313
-123.0,123,192.657172
-122.0,122,192.924986
-155.0,155,193.26447
-112.0,112,193.509534
-200.0,200,193.961822
-200.0,200,194.417021
-155.0,155,194.760883
-200.0,200,195.199529
-121.0,121,195.469746
-200.0,200,195.918848
-123.0,123,196.190498
-112.0,112,196.442313
-127.0,127,196.726024
-125.0,125,197.00476
-86.0,86,197.196078
-200.0,200,197.642324
-127.0,127,198.309729
-127.0,127,198.602705
-108.0,108,198.839103
-200.0,200,199.286713
-111.0,111,199.534901
-200.0,200,199.986582
-128.0,128,200.279802
-119.0,119,200.567879
-121.0,121,200.853188
-107.0,107,201.10721
-115.0,115,201.384401
-113.0,113,201.649655
-116.0,116,201.904965
-112.0,112,202.158869
-118.0,118,202.418607
-116.0,116,202.675102
-200.0,200,203.114458
-109.0,109,203.353384
-127.0,127,203.632912
-113.0,113,203.880326
-122.0,122,204.148767
-111.0,111,204.400722
-113.0,113,204.655204
-118.0,118,204.920278
-113.0,113,205.17477
-116.0,116,205.434544
-118.0,118,205.696349
-124.0,124,206.016
-200.0,200,206.456303
-109.0,109,206.701825
-118.0,118,206.970001
-200.0,200,207.420521
-110.0,110,207.666013
-117.0,117,207.923213
-120.0,120,208.194559
-200.0,200,208.642014
-133.0,133,208.938976
-108.0,108,209.183458
