#{"t_start": 1600583616.4624739, "env_id": null}
r,l,t
-1281.176377,200,1.094322
-1110.945293,200,1.329621
-1202.194694,200,1.549833
-1412.266127,200,1.767239
-1492.838406,200,1.984423
-1173.61464,200,2.200789
-1499.523238,200,2.429847
-1443.830504,200,2.647694
-1511.538122,200,2.863144
-1347.470021,200,3.078153
-1702.885384,200,3.308452
-1228.027779,200,3.528112
-1132.907037,200,3.742653
-1263.032804,200,3.960654
-1670.95442,200,4.175202
-966.025811,200,4.389966
-1556.060257,200,4.617116
-1431.529954,200,4.846072
-1406.433914,200,5.075443
-968.928799,200,5.304601
-1316.217881,200,5.533172
-899.276302,200,5.763151
-830.826974,200,5.991927
-873.525719,200,6.224645
-1035.369699,200,6.455498
-892.938765,200,6.683224
-915.771679,200,6.912416
-835.508255,200,7.131391
-1019.586803,200,7.35297
-643.796501,200,7.579964
-699.54205,200,7.81423
-958.905602,200,8.078198
-1506.935303,200,8.344407
-1472.291997,200,8.607909
-1244.316826,200,8.875611
-994.059408,200,9.142373
-802.405848,200,9.432084
-913.283512,200,9.779599
-1132.256963,200,10.036437
-1050.813214,200,10.270668
-1532.26742,200,10.503414
-1222.870505,200,10.726134
-1067.915717,200,10.945185
-1335.356199,200,11.165955
-915.836717,200,11.392127
-916.715925,200,11.614137
-1191.688512,200,11.83672
-947.010288,200,12.077196
-1077.768327,200,12.391307
-1346.660627,200,12.667361
-906.424166,200,18.31375
-1102.366282,200,18.537438
-1056.309562,200,18.760127
-1273.693361,200,18.983952
-1496.735104,200,19.238789
-1216.380018,200,19.543566
-1262.225784,200,19.839927
-355.206211,200,20.10475
-1028.417689,200,20.392651
-120.369673,200,20.722022
-263.933127,200,20.988001
-1.610631,200,21.265828
-3.899643,200,21.594963
-135.050189,200,21.816515
-1139.700918,200,22.039299
-1.990135,200,22.260719
-2.547128,200,22.481115
-301.377572,200,22.707107
-232.747823,200,22.925966
-131.339215,200,23.150026
-126.889524,200,23.370885
-118.236771,200,23.594761
-2.002175,200,23.815242
-124.899147,200,24.037558
-127.407562,200,24.258307
-2.486051,200,24.47682
-128.475523,200,24.743313
-2.244163,200,24.974926
-124.607636,200,25.213718
-127.990242,200,25.499241
-134.112642,200,25.720027
-116.150906,200,25.939813
-129.751816,200,26.160304
-128.810182,200,26.384407
-259.885661,200,26.60667
-266.649206,200,26.837706
-131.642838,200,27.102299
-359.505753,200,27.370305
-121.814334,200,27.641634
-241.77186,200,27.907811
-387.353212,200,28.190972
-243.923089,200,28.535941
-129.774048,200,28.81602
-123.566958,200,29.067707
-350.968431,200,29.313943
-127.698398,200,29.552868
-127.461105,200,29.791625
-361.614795,200,30.044837
-126.198418,200,30.288687
-276.863226,200,30.530838
-383.285733,200,41.216832
-241.899346,200,41.596557
-386.841551,200,42.015462
-339.888442,200,42.340279
-126.103961,200,42.671338
-379.764388,200,42.947437
-117.561692,200,43.228566
-1.765738,200,43.506099
-127.422216,200,43.786909
