#{"t_start": 1602513406.334452, "env_id": null}
r,l,t
-490.0,491,2.814585
-500.0,500,7.497215
-500.0,500,14.864287
-500.0,500,19.367495
-310.0,311,20.986578
-140.0,141,21.797325
-188.0,189,24.876771
-157.0,158,25.613011
-153.0,154,26.427904
-151.0,152,27.265424
-146.0,147,28.694396
-116.0,117,29.370495
-115.0,116,29.937165
-108.0,109,30.550789
-120.0,121,31.14166
-100.0,101,33.032682
-116.0,117,33.728288
-92.0,93,34.166642
-100.0,101,34.75026
-110.0,111,35.276703
-102.0,103,35.740536
-98.0,99,37.067713
-103.0,104,37.557818
-123.0,124,38.222411
-123.0,124,38.804282
-95.0,96,39.383876
-119.0,120,39.964982
-88.0,89,41.159363
-105.0,106,41.798368
-87.0,88,42.252286
-93.0,94,42.710724
-91.0,92,43.25909
-99.0,100,43.745793
-100.0,101,45.127645
-86.0,87,45.516259
-108.0,109,46.048961
-93.0,94,46.584649
-92.0,93,47.01896
-103.0,104,47.63364
-84.0,85,48.028075
-93.0,94,49.334223
-87.0,88,49.864243
-75.0,76,50.19261
-67.0,68,50.517612
-79.0,80,50.912834
-167.0,168,51.685429
-78.0,79,52.712493
-81.0,82,53.212396
-260.0,261,54.560572
-75.0,76,54.933403
-72.0,73,55.287969
-245.0,246,57.380029
-162.0,163,58.338677
-78.0,79,58.756701
-79.0,80,59.283045
-80.0,81,59.696917
-97.0,98,60.977548
-188.0,189,61.997393
-93.0,94,62.475671
-181.0,182,63.438805
-82.0,83,63.858705
-113.0,114,65.372245
-105.0,106,65.92186
-91.0,92,66.468966
-80.0,81,66.862137
-101.0,102,67.385805
-91.0,92,67.939379
-80.0,81,68.347658
-82.0,83,69.475328
-101.0,102,70.122026
-90.0,91,70.606456
-70.0,71,70.98881
-82.0,83,71.513335
-93.0,94,72.0098
-71.0,72,72.393056
-92.0,93,73.678589
-86.0,87,74.151619
-93.0,94,74.636516
-84.0,85,75.196213
-138.0,139,75.86715
-93.0,94,76.493155
-92.0,93,77.931803
-98.0,99,78.427818
-89.0,90,78.959826
-76.0,77,79.340335
-90.0,91,79.786817
-83.0,84,80.3079
-83.0,84,80.735125
-96.0,97,81.930134
-82.0,83,82.473576
-91.0,92,82.9184
-109.0,110,83.562012
-79.0,80,83.95417
-82.0,83,84.394139
-72.0,73,84.756623
-83.0,84,85.33751
-78.0,79,86.443476
-87.0,88,86.877313
-71.0,72,87.329667
-92.0,93,87.785316
