#{"t_start": 1601387504.700272, "env_id": null}
r,l,t
-200.0,200,1.184109
-200.0,200,1.636644
-200.0,200,2.047399
-158.0,158,2.856559
-200.0,200,3.256243
-200.0,200,3.673581
-179.0,179,4.650361
-170.0,170,5.013452
-135.0,135,5.282985
-164.0,164,5.614737
-170.0,170,6.449779
-168.0,168,6.786119
-160.0,160,7.111954
-155.0,155,7.43033
-152.0,152,8.146374
-148.0,148,8.443999
-177.0,177,8.826944
-92.0,92,9.054414
-158.0,158,10.025586
-155.0,155,10.331171
-89.0,89,10.518263
-158.0,158,10.839279
-156.0,156,11.14963
-150.0,150,11.923091
-169.0,169,12.257586
-156.0,156,12.57975
-149.0,149,12.879724
-145.0,145,13.641591
-176.0,176,14.000978
-145.0,145,14.300392
-89.0,89,14.472079
-152.0,152,15.248388
-147.0,147,15.543207
-153.0,153,15.882945
-158.0,158,16.208979
-145.0,145,16.973634
-147.0,147,17.306446
-171.0,171,17.682588
-145.0,145,18.070797
-144.0,144,18.919159
-149.0,149,19.243294
-144.0,144,19.539828
-145.0,145,19.833902
-141.0,141,20.120086
-151.0,151,20.889488
-148.0,148,21.200204
-147.0,147,21.513827
-150.0,150,21.867172
-142.0,142,22.64416
-144.0,144,22.947634
-143.0,143,23.249438
-146.0,146,23.57683
-143.0,143,24.379233
-140.0,140,24.705458
-143.0,143,25.016473
-142.0,142,25.312399
-147.0,147,25.611324
-152.0,152,26.38171
-144.0,144,26.673813
-142.0,142,26.967175
-151.0,151,27.26885
-141.0,141,28.036333
-145.0,145,28.329944
-144.0,144,28.622246
-146.0,146,28.920815
-141.0,141,29.672741
-143.0,143,30.002234
-143.0,143,30.304246
-154.0,154,30.62306
-146.0,146,31.515337
-146.0,146,31.839905
-142.0,142,32.161797
-145.0,145,32.455599
-146.0,146,32.757673
-143.0,143,33.576687
-139.0,139,33.851472
-151.0,151,34.173677
-148.0,148,34.4754
-141.0,141,35.285125
-151.0,151,35.588721
-142.0,142,35.89912
-145.0,145,36.194775
-152.0,152,36.990809
-149.0,149,37.290622
-149.0,149,37.590113
-145.0,145,37.889038
-143.0,143,38.202285
-143.0,143,38.992801
-143.0,143,39.30702
-144.0,144,39.604285
-157.0,157,39.975514
-143.0,143,40.808288
-143.0,143,41.105537
-143.0,143,41.417199
-142.0,142,41.734011
-146.0,146,42.508014
-138.0,138,42.793823
-141.0,141,43.089608
-139.0,139,43.407593
-141.0,141,43.718661
-142.0,142,44.484295
-144.0,144,44.790211
-137.0,137,45.078699
-140.0,140,45.397081
-142.0,142,46.197164
-135.0,135,46.467817
-136.0,136,46.755199
-133.0,133,47.026575
-137.0,137,47.345966
-138.0,138,48.126436
-144.0,144,48.425192
-142.0,142,48.718444
-146.0,146,49.017923
-141.0,141,49.756664
-138.0,138,50.050818
-140.0,140,50.355874
-142.0,142,50.672764
-144.0,144,51.420896
-140.0,140,51.738112
-143.0,143,52.033337
-139.0,139,52.321724
-139.0,139,52.595455
-141.0,141,53.351068
-147.0,147,53.651901
-145.0,145,53.961853
-139.0,139,54.256697
-139.0,139,55.067736
-141.0,141,55.375398
-138.0,138,55.676629
-135.0,135,55.959355
-134.0,134,56.229715
-135.0,135,57.004052
-141.0,141,57.303736
-144.0,144,57.599293
-141.0,141,57.91044
-141.0,141,58.652033
-107.0,107,58.876347
-143.0,143,59.208244
-107.0,107,59.421164
-143.0,143,59.724097
-146.0,146,60.450536
-139.0,139,60.738175
-145.0,145,61.035374
-153.0,153,61.353288
-150.0,150,62.062908
-110.0,110,62.288112
-111.0,111,62.51511
-111.0,111,62.743397
-152.0,152,63.048771
-113.0,113,63.277954
-113.0,113,63.934172
-143.0,143,64.227812
-110.0,110,64.456457
-111.0,111,64.683918
-111.0,111,64.912032
-112.0,112,65.551685
-113.0,113,65.781268
-153.0,153,66.101528
-112.0,112,66.333201
-111.0,111,66.56156
-112.0,112,67.19525
-111.0,111,67.430381
-111.0,111,67.672739
-113.0,113,67.970523
-111.0,111,68.204509
-114.0,114,68.438586
-151.0,151,69.214145
-86.0,86,69.403626
-111.0,111,69.617875
-112.0,112,69.8495
-154.0,154,70.171023
-110.0,110,70.766804
-114.0,114,71.001475
-111.0,111,71.230232
-83.0,83,71.399115
-115.0,115,71.631638
-87.0,87,71.81817
-172.0,172,72.563726
-116.0,116,72.79696
-116.0,116,73.038406
-88.0,88,73.238383
-115.0,115,73.481841
-112.0,112,74.093302
-116.0,116,74.333373
-117.0,117,74.597715
-115.0,115,74.849325
-113.0,113,75.083003
-114.0,114,75.313471
-162.0,162,76.107399
-83.0,83,76.280419
-114.0,114,76.519151
-153.0,153,76.85151
-90.0,90,77.038385
-114.0,114,77.720821
-155.0,155,78.092519
-86.0,86,78.287659
-118.0,118,78.541956
-112.0,112,78.776166
-112.0,112,79.42137
-87.0,87,79.607498
-111.0,111,79.844769
-114.0,114,80.103735
-111.0,111,80.348739
-114.0,114,80.59592
-115.0,115,81.336155
-87.0,87,81.537446
-114.0,114,81.801381
-112.0,112,82.071356
-114.0,114,82.331265
-116.0,116,82.60933
-112.0,112,83.29734
-113.0,113,83.554179
-115.0,115,83.813906
-115.0,115,84.076996
-115.0,115,84.335549
-111.0,111,85.053748
-118.0,118,85.352665
-84.0,84,85.578051
-113.0,113,85.899969
-113.0,113,86.158473
-113.0,113,86.419851
-111.0,111,87.087535
-155.0,155,87.452792
-87.0,87,87.646256
-85.0,85,87.83351
-91.0,91,88.041842
-113.0,113,88.296006
-111.0,111,89.033536
-111.0,111,89.292859
-112.0,112,89.563819
-156.0,156,89.9364
-116.0,116,90.207556
-111.0,111,90.960977
-177.0,177,91.375845
-112.0,112,91.639649
-152.0,152,91.981609
-112.0,112,92.234588
-156.0,156,93.08578
-152.0,152,93.439714
-110.0,110,93.686643
-85.0,85,93.873565
-111.0,111,94.113745
-86.0,86,94.788962
-112.0,112,95.04336
-112.0,112,95.291364
-114.0,114,95.55039
-153.0,153,95.894618
-112.0,112,96.584847
-113.0,113,96.836428
-113.0,113,97.090811
-156.0,156,97.444566
-152.0,152,97.774607
-160.0,160,98.595185
-90.0,90,98.799095
-118.0,118,99.061092
-112.0,112,99.31283
-112.0,112,99.563126
-84.0,84,100.145267
-113.0,113,100.395235
-155.0,155,100.729608
-115.0,115,100.984351
-115.0,115,101.24912
-114.0,114,101.500001
-115.0,115,102.159062
-115.0,115,102.413395
-84.0,84,102.597167
-89.0,89,102.800436
-119.0,119,103.06283
-114.0,114,103.763662
-160.0,160,104.121944
-85.0,85,104.308504
-91.0,91,104.518248
-116.0,116,104.771104
-116.0,116,105.028595
-160.0,160,105.780992
-112.0,112,106.03667
-88.0,88,106.241366
-89.0,89,106.440712
