total_timesteps,value_loss,policy_entropy,clipfrac,serial_timesteps,time_elapsed,policy_loss,approxkl,explained_variance,fps,n_updates,ep_len_mean,ep_reward_mean
256,6.651847,1.098541,0.0,16,1.0967254638671875e-05,-0.0006612468,6.8868336e-05,-0.005359530448913574,1047,1,,
512,0.8087808,1.0983104,0.0,32,0.24472594261169434,-0.0015544596,5.824523e-05,0.07147550582885742,7291,2,,
768,0.22549763,1.0976356,0.0,48,0.2800788879394531,-0.0019817497,9.089173e-05,0.25200408697128296,7389,3,,
1024,0.20110652,1.0972377,0.0,64,0.3149409294128418,0.00026200892,3.1336775e-05,0.593503326177597,7664,4,,
1280,0.31727982,1.0966668,0.0,80,0.3485579490661621,-0.0014371619,3.3726166e-05,-0.13775193691253662,7567,5,,
1536,0.1835883,1.0962758,0.0,96,0.38263988494873047,0.00012414937,2.8075869e-05,0.28127264976501465,7576,6,,
1792,0.09047009,1.0952172,0.0,112,0.41666674613952637,-0.00066489447,2.7857986e-05,0.12798190116882324,7917,7,,
2048,0.10054981,1.0941017,0.0,128,0.4492218494415283,-0.0020539432,0.00012074564,0.576933354139328,7988,8,,
2304,0.13876975,1.0917088,0.0,144,0.48154377937316895,-0.000494982,8.254485e-05,-0.030919432640075684,7527,9,,
2560,0.08642137,1.0883708,0.0,160,0.5157718658447266,0.00040905166,2.3981134e-05,0.14101654291152954,7476,10,,
2816,0.054703306,1.0895545,0.0,176,0.55023193359375,-0.0028514722,0.000165015,0.5935012698173523,7528,11,,
3072,0.1172687,1.0801059,0.0,192,0.5844738483428955,-0.0004078669,0.00012030758,0.18994826078414917,8002,12,,
3328,0.043285105,1.0910107,0.0,208,0.6166877746582031,-8.860964e-05,4.2653883e-05,-0.26507604122161865,6269,13,200.0,-200.0
3584,0.05071047,1.0947906,0.0,224,0.6580338478088379,-0.00075373845,3.9786082e-05,0.27838701009750366,4088,14,200.0,-200.0
3840,0.04802858,1.0967735,0.0,240,0.721142053604126,-7.998699e-05,8.8828965e-06,0.2278381586074829,6067,15,200.0,-200.0
4096,0.047163326,1.0937092,0.0,256,0.763617992401123,-0.00046470267,7.7415725e-06,0.15804415941238403,7081,16,200.0,-200.0
4352,0.049889077,1.096118,0.0,272,0.8000550270080566,-0.00020286161,8.703827e-06,0.06208992004394531,7264,17,200.0,-200.0
4608,0.056054614,1.0941023,0.0,288,0.8355629444122314,3.2164564e-05,4.245092e-06,0.2852138876914978,7726,18,200.0,-200.0
4864,0.052294113,1.0947568,0.0,304,0.8689978122711182,-0.00066680013,2.564711e-05,0.2060731053352356,8230,19,200.0,-200.0
5120,0.053872835,1.0898961,0.0,320,0.9004359245300293,-0.00199092,0.00019097979,0.3057417869567871,8277,20,200.0,-200.0
5376,0.05303678,1.0839862,0.0,336,0.9316549301147461,-0.0013733761,0.0002779495,0.36516863107681274,8145,21,200.0,-200.0
5632,0.06003015,1.0708575,0.0,352,0.9633538722991943,-0.0010133119,0.00029842526,0.20790386199951172,8113,22,200.0,-200.0
