#{"t_start": 1600707979.3047738, "env_id": null}
r,l,t
-995.476352,200,0.735467
-1524.426295,200,0.866728
-1575.626165,200,0.999532
-978.259843,200,1.131131
-1135.971776,200,1.266693
-1158.856261,200,2.760994
-1015.805838,200,3.296886
-994.9377,200,3.430288
-1049.261615,200,3.56548
-1426.557232,200,3.702648
-1184.274257,200,5.072966
-1047.038891,200,5.215462
-1178.421,200,5.740384
-1033.801476,200,5.866105
-1144.265576,200,6.001389
-1094.914247,200,7.336163
-890.068165,200,7.474044
-901.35754,200,7.612557
-1040.476828,200,8.095322
-1266.25954,200,8.232849
-1007.48443,200,9.582245
-797.940017,200,9.721159
-994.050132,200,9.859568
-1180.877647,200,9.999504
-1171.057642,200,10.13731
-1152.527795,200,11.851294
-827.069733,200,11.988673
-969.560607,200,12.125139
-886.424514,200,12.293017
-983.11615,200,12.49601
-750.91626,200,13.910521
-892.696053,200,14.560066
-869.703295,200,14.69952
-867.044225,200,14.845238
-751.269187,200,14.973172
-757.216512,200,16.543854
-762.009676,200,16.691742
-772.985139,200,17.267014
-993.617401,200,17.400168
-769.85449,200,17.546594
-1025.009012,200,18.996209
-905.636449,200,19.135353
-638.006967,200,19.275983
-760.014836,200,19.784061
-893.323097,200,19.923218
-619.529394,200,20.060245
-787.585766,200,21.478072
-861.016696,200,21.614653
-852.3628,200,21.75155
-756.011463,200,21.888267
-506.283434,200,22.364811
-628.032982,200,23.79128
-633.063747,200,23.936385
-505.850033,200,24.075371
-492.417424,200,24.215809
-250.390819,200,24.368661
-503.605603,200,26.159313
-592.351569,200,26.295881
-605.898884,200,26.435783
-634.76724,200,26.573717
-620.587155,200,26.712112
-677.052317,200,28.076648
-257.387642,200,28.554635
-131.092368,200,28.693238
-251.010386,200,28.831457
-258.823229,200,28.970632
-251.57356,200,30.33363
-364.935562,200,30.473676
-255.13638,200,30.945876
-376.434329,200,31.083749
-262.203204,200,31.219032
-353.685338,200,32.58194
-339.441651,200,32.722564
-121.052948,200,32.858765
-122.921138,200,32.999328
-122.76652,200,33.480919
-128.796058,200,34.856993
-253.221106,200,34.994539
-276.68452,200,35.132688
-266.505327,200,35.27142
-355.412705,200,35.412108
-130.59612,200,37.119786
-360.266264,200,37.258128
-127.374068,200,37.397259
-388.340197,200,37.536861
-123.775767,200,37.67679
-284.404337,200,37.815746
-357.805564,200,39.50836
-5.290815,200,39.647808
-125.672772,200,39.785046
-128.513015,200,39.923532
-240.273256,200,40.061338
-130.864235,200,41.428008
-125.226309,200,41.901367
-3.243149,200,42.044835
-119.034758,200,42.183304
-228.596626,200,42.320849
-133.10795,200,43.685228
-234.59049,200,43.820115
-128.633018,200,43.956117
-127.263258,200,44.447117
-3.426682,200,44.601444
-116.980205,200,45.977142
-128.170954,200,46.114963
-238.583803,200,46.251908
-237.417068,200,46.390629
-3.386256,200,46.855095
-4.268366,200,48.220524
-127.410611,200,48.358519
-260.690532,200,48.497778
-3.974213,200,48.635466
-242.069938,200,48.773592
-122.849513,200,50.483594
-6.236538,200,50.62251
-127.212197,200,50.76036
-326.261159,200,50.897792
-124.097642,200,51.038603
-348.309161,200,52.402162
-119.905309,200,52.877477
-3.609056,200,53.017967
-253.594793,200,53.15522
-3.522992,200,53.294496
-128.660254,200,54.660457
-116.282335,200,54.798802
-129.522407,200,54.93741
-245.354302,200,55.405541
-122.605167,200,55.543506
-124.507023,200,55.682729
-125.975141,200,57.066275
-240.864558,200,57.204075
-355.426965,200,57.341547
-121.782542,200,57.808923
-257.837283,200,57.94717
-127.891425,200,59.326871
-241.785262,200,59.464552
-116.183429,200,59.60227
-128.203277,200,59.740717
-126.298937,200,60.209942
-122.267563,200,61.584458
-256.199545,200,61.722814
-119.789324,200,61.861644
-3.614331,200,62.000845
-235.142755,200,62.142314
-3.452432,200,63.847246
-234.586722,200,63.987149
-124.219585,200,64.123394
-239.926878,200,64.261254
-245.434478,200,64.399721
-235.365991,200,65.776619
-237.261366,200,65.913419
-124.51092,200,66.384334
-3.050606,200,66.52191
-117.497544,200,66.660396
-254.529536,200,68.0389
-240.777727,200,68.177784
-4.084261,200,68.315202
-326.609931,200,68.78158
-120.544673,200,68.919435
-129.100526,200,70.298255
-5.595152,200,70.438329
-8.414868,200,70.576789
-323.687441,200,70.714643
-118.134416,200,71.190232
-370.951527,200,72.580091
-4.748715,200,72.717717
-126.011617,200,72.85609
-119.714119,200,72.996228
-124.424555,200,73.133292
-122.732287,200,74.841056
-119.641266,200,74.979027
-231.577007,200,75.116104
-127.784999,200,75.254484
-127.820066,200,75.392541
-124.348705,200,75.530336
-123.879683,200,76.911895
-243.633113,200,77.381945
-236.394499,200,77.52038
-358.419162,200,77.659203
-126.955933,200,77.79758
-123.178374,200,79.182853
-125.958678,200,79.321368
-120.45479,200,79.784037
-119.492228,200,79.921802
-233.047197,200,80.062532
-3.244216,200,81.439868
-2.77453,200,81.57904
-127.308351,200,81.716937
-125.0071,200,82.18781
-3.496578,200,82.326554
-131.07981,200,83.70587
-354.039198,200,83.844255
-239.874992,200,83.982726
-127.452823,200,84.122337
-127.320299,200,84.589345
-240.885031,200,85.968753
-123.659817,200,86.107829
-240.607077,200,86.246732
-3.048828,200,86.385543
-246.946058,200,86.523484
-116.19346,200,87.91228
-255.57273,200,88.383869
-122.758056,200,88.522783
-330.216809,200,88.660911
-2.728849,200,88.798609
-230.374799,200,90.189514
-2.834038,200,90.32686
-240.013274,200,90.797687
-118.820299,200,90.936114
-117.200158,200,91.076762
-133.277997,200,92.456252
-127.518765,200,92.594116
-339.056498,200,92.729706
-2.756246,200,93.19954
-5.135354,200,93.33783
-245.397671,200,93.47705
-124.116843,200,94.859413
-126.498799,200,95.000004
-127.38809,200,95.138064
-2.242895,200,95.605506
-116.256559,200,95.744334
-334.18406,200,97.136385
-118.942964,200,97.274764
-2.580834,200,97.412816
-126.347505,200,97.552481
-120.960777,200,97.690311
-121.255483,200,99.411836
-128.841671,200,99.549797
-2.865106,200,99.687636
-240.381283,200,99.825698
-127.381444,200,99.964128
-3.548549,200,101.346524
-122.461628,200,101.809207
-352.868118,200,101.948044
-120.504026,200,102.087795
-125.476957,200,102.22548
-233.831646,200,103.606137
-122.665531,200,103.743181
-125.142393,200,104.212218
-229.661853,200,104.366236
-122.036315,200,104.504489
-243.030445,200,105.888539
-120.564419,200,106.029485
-238.325808,200,106.167831
-5.695422,200,106.637711
-125.835158,200,106.776998
