serial_timesteps,n_updates,clipfrac,value_loss,ep_len_mean,approxkl,time_elapsed,fps,ep_reward_mean,policy_loss,total_timesteps,policy_entropy,explained_variance
1024,1,0.06566569,2244.413,200.0,0.011569266,9.059906005859375e-06,3880,-1236.7591947249998,-0.0056354045,8192,0.68118083,0.0011048316955566406
2048,2,0.06376139,1538.2207,200.0,0.006103744,2.1113600730895996,3502,-1179.373222575,-0.0034047072,16384,0.6764977,0.005349457263946533
3072,3,0.075732425,1226.4036,200.0,0.0065233908,4.4506309032440186,3615,-1103.12994304,-0.0047060554,24576,0.66732574,0.024254560470581055
4096,4,0.06721191,1270.6588,200.0,0.0062580584,6.71650505065918,3616,-1055.14950028,-0.0034015619,32768,0.6518333,0.08957427740097046
5120,5,0.034476724,1302.9785,200.0,0.003987976,8.981809854507446,3584,-1017.9695802900002,-0.0027771029,40960,0.64079535,0.208423912525177
6144,6,0.06476237,1440.9689,200.0,0.0053939084,11.267795085906982,3945,-989.7339247200002,-0.0043106237,49152,0.6158551,0.23328471183776855
7168,7,0.0947998,1449.9694,200.0,0.0059188977,13.344602108001709,3090,-959.53063688,-0.0057810256,57344,0.6161422,0.3207550644874573
8192,8,0.09119059,1317.0398,200.0,0.005668139,15.995872020721436,3319,-901.3327634899999,-0.0063565355,65536,0.61977607,0.3344201445579529
9216,9,0.11784261,1424.9802,200.0,0.0056849504,18.464059114456177,3473,-814.7863864099999,-0.009506083,73728,0.59096557,0.3662493824958801
10240,10,0.090389,1233.858,200.0,0.004669645,20.823094129562378,3513,-751.9836539399998,-0.007010338,81920,0.5448585,0.46782469749450684
11264,11,0.098221846,998.681,200.0,0.0058239116,23.154962062835693,3437,-647.01278204,-0.008050699,90112,0.5112478,0.5526602566242218
12288,12,0.10453694,719.2882,200.0,0.00494404,25.538669109344482,4231,-538.3044507999999,-0.007547707,98304,0.48001453,0.7111556231975555
13312,13,0.09125976,430.15067,200.0,0.00414125,27.47500491142273,3605,-435.29884523,-0.005180577,106496,0.4702911,0.791570708155632
14336,14,0.07106527,308.8537,200.0,0.0035161192,29.747343063354492,3619,-339.67553058000004,-0.004072817,114688,0.47039434,0.8509212285280228
15360,15,0.080004886,182.23982,200.0,0.0037728467,32.01092195510864,3574,-263.15413982999996,-0.0023891614,122880,0.45821896,0.8517010360956192
16384,16,0.08306885,105.69904,200.0,0.0037116713,34.30284404754639,3594,-225.27526273,-0.0029788062,131072,0.4521709,0.9103648141026497
17408,17,0.10068766,76.90236,200.0,0.0035900387,36.5824089050293,4226,-200.10101669000002,-0.0028295545,139264,0.4539098,0.9381730183959007
18432,18,0.08295491,36.89032,200.0,0.003172665,38.52115201950073,3619,-185.71631451999997,-0.000840746,147456,0.45399705,0.951209045946598
19456,19,0.08802083,19.551039,200.0,0.003856461,40.78465723991394,3599,-162.62810937999996,-0.0006869783,155648,0.45583865,0.9641291759908199
20480,20,0.08071696,19.609753,200.0,0.0037586119,43.06083297729492,3553,-143.06886215000003,-0.0007463592,163840,0.4440882,0.9641050808131695
21504,21,0.07972005,4.890684,200.0,0.0026425996,45.36664009094238,3624,-142.75241086,0.0004421601,172032,0.45932156,0.9823218993842602
22528,22,0.07173259,13.771701,200.0,0.0027118167,47.62690806388855,3590,-139.56378594,-0.0011745966,180224,0.44243082,0.9766783136874437
