episodes,total timesteps,time_elapsed,policy_loss,qf1_loss,n_updates,ep_rewmean,mean 100 episode reward,fps,value_loss,current_lr,entropy,ent_coef_loss,ent_coef,qf2_loss,eplenmean
4,2000,6,7.4275775,0.015833365,1937,-500.0,-500.0,319,0.06263586,0.00125,1.2414272,-4.0246572,0.09009931,0.013999121,500.0
8,4000,12,15.473389,0.055858042,3937,-500.0,-500.0,308,0.12861086,0.00125,0.31682503,-4.200115,0.010227623,0.06118513,500.0
12,6000,19,22.977928,0.046628416,5937,-500.0,-500.0,315,0.060176708,0.00125,0.27621505,1.7507284,0.0038748884,0.037943102,500.0
16,8000,25,29.340307,0.09109173,7937,-500.0,-500.0,315,0.08618851,0.00125,-0.08768834,0.37495697,0.0043683406,0.09773888,500.0
20,9737,30,34.730034,0.09476067,9674,-486.75,-486.8,315,0.091978036,0.00125,0.13760723,-0.8600793,0.0077659017,0.09350332,486.85
24,11153,40,38.09848,0.22871113,11090,-464.5,-464.5,277,0.40053576,0.00125,-0.50003546,0.9835446,0.00735142,0.2174083,464.7083333333333
28,12667,45,43.04416,0.075752154,12604,-452.10714285714283,-452.1,278,0.26323438,0.00125,0.2355542,-1.5051045,0.0116034495,0.08162353,452.39285714285717
32,13723,48,44.204525,0.70549786,13660,-428.5,-428.5,280,0.7072146,0.00125,-0.08330974,0.8506826,0.012285075,0.7994803,428.84375
36,14690,51,46.692474,0.0801827,14627,-407.6388888888889,-407.6,282,0.099507585,0.00125,-0.15320219,0.3957294,0.011327875,0.06054864,408.05555555555554
40,15826,55,48.7637,0.8281399,15763,-395.2,-395.2,285,1.1444209,0.00125,0.010011405,-1.1537169,0.01579977,1.3620849,395.65
44,16768,58,50.466507,0.3683952,16705,-380.59090909090907,-380.6,287,0.28791422,0.00125,0.059707627,0.61806464,0.018090658,0.24155694,381.09090909090907
48,17878,61,53.623627,0.44869146,17815,-371.9166666666667,-371.9,289,0.46008527,0.00125,0.09280008,0.39372185,0.0139474105,0.4858292,372.4583333333333
52,18739,64,52.91572,0.7517116,18676,-359.78846153846155,-359.8,291,1.6835167,0.00125,0.43538606,1.144489,0.022060854,0.5964396,360.36538461538464
56,19598,66,56.14589,0.25667995,19535,-349.35714285714283,-349.4,293,0.49879563,0.00125,0.22413945,-0.1596304,0.020948997,0.23814686,349.9642857142857
60,20463,76,56.355057,0.88164014,20400,-340.4166666666667,-340.4,267,0.93789446,0.00125,0.29705822,0.2729377,0.019290496,0.8461807,341.05
64,21248,78,57.823135,0.7358517,21185,-331.34375,-331.3,269,2.0493007,0.00125,0.41720107,-1.2673993,0.023726407,0.62326074,332.0
68,21827,80,58.470642,0.47465056,21764,-320.30882352941177,-320.3,271,0.6143091,0.00125,0.587094,0.6126024,0.018906752,0.80123866,320.9852941176471
72,22433,82,58.714622,0.5397005,22370,-310.875,-310.9,272,0.4274072,0.00125,0.5113199,0.41043854,0.027348477,0.55001926,311.56944444444446
76,23021,84,58.28086,15.296798,22958,-302.19736842105266,-302.2,273,1.1248763,0.00125,0.6449593,-0.86572176,0.030388575,15.429232,302.9078947368421
80,23742,87,57.8605,0.4835488,23679,-296.05,-296.1,271,0.41657114,0.00125,0.3896525,0.670908,0.028509164,0.48625287,296.775
84,24337,89,63.77232,0.2439979,24274,-288.98809523809524,-289.0,271,0.41875792,0.00125,0.69970536,-0.90692204,0.02599029,0.30452204,289.7261904761905
88,24882,91,60.876617,0.99673456,24819,-282.0,-282.0,271,1.9207342,0.00125,0.5022779,1.1777588,0.030591717,0.8934423,282.75
92,25429,93,61.73362,0.6722052,25366,-275.64130434782606,-275.6,271,1.3100262,0.00125,0.67080474,1.3307012,0.03555696,0.43457037,276.4021739130435
96,25940,95,63.134583,0.39698303,25877,-269.4375,-269.4,271,1.377485,0.00125,0.66681623,0.1752288,0.039097235,0.65656203,270.2083333333333
