#{"t_start": 1610027099.95791, "env_id": null}
r,l,t
8.0,8,0.98679
5.0,5,0.989882
19.0,19,1.000882
21.0,21,1.01271
8.0,8,1.017698
13.0,13,1.335581
4.0,4,1.349172
4.0,4,1.366416
10.0,10,1.403681
11.0,11,1.443584
4.0,4,1.458007
16.0,16,1.515414
6.0,6,1.537838
8.0,8,1.566818
6.0,6,1.588817
6.0,6,1.609099
8.0,8,1.63839
10.0,10,1.673759
8.0,8,1.70045
6.0,6,1.71979
15.0,15,1.772544
23.0,23,1.84898
8.0,8,1.877825
7.0,7,1.900853
9.0,9,1.931958
5.0,5,1.947784
8.0,8,1.976268
4.0,4,1.99032
5.0,5,2.006847
8.0,8,2.034834
13.0,13,2.079746
7.0,7,2.102677
12.0,12,2.142931
8.0,8,2.171348
8.0,8,2.198113
7.0,7,2.220297
23.0,23,2.299681
8.0,8,2.327074
5.0,5,2.343432
11.0,11,2.382625
6.0,6,2.402427
8.0,8,2.430228
20.0,20,2.499371
5.0,5,2.515384
4.0,4,2.530691
20.0,20,2.599547
4.0,4,2.612137
5.0,5,2.62823
7.0,7,2.652402
5.0,5,2.668678
17.0,17,2.726953
16.0,16,2.781867
9.0,9,2.813448
9.0,9,2.84233
6.0,6,2.86344
4.0,4,2.877528
7.0,7,2.903257
8.0,8,2.928813
5.0,5,2.946395
6.0,6,2.966808
12.0,12,3.010432
6.0,6,3.030334
7.0,7,3.055285
4.0,4,3.068335
4.0,4,3.083774
6.0,6,3.105157
13.0,13,3.14835
8.0,8,3.175149
15.0,15,3.226749
7.0,7,3.249561
5.0,5,3.267672
6.0,6,3.286909
7.0,7,3.313454
14.0,14,3.359463
18.0,18,3.423033
10.0,10,3.455056
30.0,30,3.559818
14.0,14,3.609647
12.0,12,3.649148
5.0,5,3.667196
11.0,11,3.705762
6.0,6,3.727085
10.0,10,3.7595
65.0,65,3.981246
31.0,31,4.088778
90.0,90,4.396135
7.0,7,4.421621
5.0,5,4.43962
95.0,95,4.764033
16.0,16,4.81728
21.0,21,4.889261
54.0,54,5.076006
75.0,75,5.331141
76.0,76,5.593888
44.0,44,5.744138
21.0,21,5.814664
123.0,123,6.235001
355.0,355,7.449919
183.0,183,8.122614
128.0,128,8.626405
133.0,133,9.254096
186.0,186,9.936439
269.0,269,10.853759
188.0,188,11.506843
166.0,166,12.181236
205.0,205,12.937785
126.0,126,13.340368
207.0,207,14.002896
179.0,179,14.569336
114.0,114,14.983102
163.0,163,15.584667
160.0,160,16.209088
124.0,124,16.673515
117.0,117,17.059343
127.0,127,17.477076
156.0,156,17.985077
118.0,118,18.36824
102.0,102,22.558374
45.0,45,22.734453
99.0,99,23.108151
56.0,56,23.320451
96.0,96,23.660239
55.0,55,23.879385
30.0,30,23.995412
114.0,114,24.398408
106.0,106,24.833571
100.0,100,25.176628
116.0,116,25.600775
103.0,103,25.927197
97.0,97,26.236714
93.0,93,26.54541
97.0,97,26.855911
93.0,93,27.163701
96.0,96,27.470401
98.0,98,27.782951
101.0,101,28.110206
99.0,99,28.430697
97.0,97,28.739376
98.0,98,29.060752
106.0,106,29.514206
100.0,100,29.918596
100.0,100,30.260752
99.0,99,30.656197
34.0,34,30.764042
101.0,101,31.088061
102.0,102,31.414138
102.0,102,31.768678
96.0,96,32.08251
99.0,99,32.417533
97.0,97,32.733697
92.0,92,33.031609
95.0,95,33.335715
94.0,94,33.647421
93.0,93,33.953572
94.0,94,34.257098
96.0,96,34.577987
98.0,98,34.893227
102.0,102,35.219503
97.0,97,35.534607
93.0,93,35.829353
94.0,94,36.129225
89.0,89,36.41417
90.0,90,36.702213
94.0,94,37.00737
94.0,94,37.401486
97.0,97,37.783876
97.0,97,38.103474
95.0,95,38.478501
96.0,96,38.77877
93.0,93,39.067033
91.0,91,39.348965
99.0,99,48.656903
93.0,93,48.993697
95.0,95,49.286472
92.0,92,49.582905
89.0,89,49.873216
93.0,93,50.163179
32.0,32,50.261177
92.0,92,50.543644
94.0,94,50.835025
90.0,90,51.112254
92.0,92,51.395723
91.0,91,51.675222
91.0,91,51.956051
94.0,94,52.247771
95.0,95,52.554655
93.0,93,52.840402
90.0,90,53.117591
93.0,93,53.404393
95.0,95,53.697621
94.0,94,53.986466
100.0,100,54.29589
99.0,99,54.618928
100.0,100,55.249434
98.0,98,55.726788
106.0,106,56.278203
103.0,103,56.771395
106.0,106,57.251709
105.0,105,57.72211
114.0,114,58.08456
109.0,109,58.435946
117.0,117,58.797112
112.0,112,59.144418
110.0,110,59.484391
116.0,116,59.842984
105.0,105,60.167482
114.0,114,60.518871
109.0,109,60.855288
20.0,20,60.917208
115.0,115,61.271706
141.0,141,61.706661
500.0,500,63.252738
500.0,500,64.795702
120.0,120,65.167044
134.0,134,76.626717
150.0,150,77.094714
500.0,500,78.648202
33.0,33,78.74968
157.0,157,79.248023
500.0,500,80.789709
234.0,234,81.514605
500.0,500,83.076267
171.0,171,83.607453
281.0,281,84.478365
140.0,140,84.915532
282.0,282,85.792266
178.0,178,86.348529
115.0,115,86.706681
144.0,144,87.153599
500.0,500,88.711394
500.0,500,90.274835
343.0,343,91.346276
404.0,404,107.312961
142.0,142,107.783278
406.0,406,109.186386
131.0,131,109.648359
375.0,375,110.909835
128.0,128,111.384902
500.0,500,113.06784
108.0,108,113.418842
97.0,97,113.735401
335.0,335,114.872599
114.0,114,115.272273
96.0,96,115.594328
114.0,114,115.968991
146.0,146,116.460133
316.0,316,117.537163
500.0,500,119.347879
100.0,100,119.674028
143.0,143,120.156182
100.0,100,120.481245
100.0,100,120.836643
98.0,98,121.16545
216.0,216,121.851572
140.0,140,122.298777
103.0,103,122.636656
121.0,121,123.057909
143.0,143,123.52106
500.0,500,144.363637
77.0,77,144.606975
100.0,100,144.926074
96.0,96,145.229871
97.0,97,145.537138
120.0,120,145.916506
115.0,115,146.289043
98.0,98,146.598734
109.0,109,146.944586
115.0,115,147.309199
500.0,500,148.896006
500.0,500,150.490243
500.0,500,152.213977
500.0,500,153.945687
500.0,500,156.051307
500.0,500,157.654635
500.0,500,159.285491
500.0,500,196.273398
