mean 100 episode reward,total timesteps,n_updates,time_elapsed,eplenmean,episodes,current_lr,fps,ep_rewmean,value_loss,policy_loss,ent_coef,qf2_loss,entropy,ent_coef_loss,qf1_loss
13.2,53,0,0,13.25,4,0.001,556,13.25,,,,,,,
10.2,82,19,0,10.25,8,0.001,179,10.25,0.07424717,-0.8075339,0.9821491,0.0010917919,1.256448,-0.03105851,0.0013656579
10.2,123,60,0,10.25,12,0.001,203,10.25,0.019799361,-0.9107648,0.94263506,0.00063346175,1.2180123,-0.099356174,0.0007926371
9.3,149,86,0,9.3125,16,0.001,213,9.3125,0.017974533,-0.9902966,0.918371,0.0017349366,1.1949346,-0.1403582,0.0008424272
9.1,181,118,0,9.05,20,0.001,223,9.05,0.011318036,-1.0775303,0.8893762,0.0019613637,1.3264167,-0.19608043,0.0018446273
9.8,234,171,0,9.75,24,0.001,236,9.75,0.015929915,-1.1667141,0.84329367,0.001870215,1.2650486,-0.28607714,0.002441452
9.3,260,197,1,9.285714285714286,28,0.001,241,9.285714285714286,0.019006576,-1.1954529,0.8215643,0.003769485,1.3281446,-0.32925177,0.00213486
9.2,293,230,1,9.15625,32,0.001,246,9.15625,0.016984519,-1.1563568,0.7948333,0.007310213,1.3251665,-0.38381326,0.010036496
9.1,328,265,1,9.11111111111111,36,0.001,250,9.11111111111111,0.016481103,-1.3529801,0.76740557,0.0027168072,1.2520186,-0.44158924,0.0027340404
9.4,375,312,1,9.375,40,0.001,255,9.375,0.014614829,-1.3409653,0.7320311,0.0051268013,1.2717943,-0.5270717,0.0042953165
9.4,414,351,1,9.409090909090908,44,0.001,258,9.409090909090908,0.031562846,-1.4375266,0.70394945,0.0058044693,1.288826,-0.5887532,0.005821993
9.3,447,384,1,9.3125,48,0.001,260,9.3125,0.030921549,-1.4340026,0.6810994,0.0051714107,1.3327919,-0.6634133,0.005197866
9.5,492,429,1,9.461538461538462,52,0.001,263,9.461538461538462,0.021367272,-1.5558524,0.6510872,0.0033405493,1.2894962,-0.71996176,0.003233478
9.3,520,457,1,9.285714285714286,56,0.001,264,9.285714285714286,0.016481647,-1.5379272,0.63315153,0.008032301,1.2369238,-0.7560489,0.007933306
9.1,546,483,2,9.1,60,0.001,265,9.1,0.020154068,-1.6114908,0.6169229,0.0024919224,1.2581201,-0.8213311,0.0037714462
9.0,575,512,2,8.984375,64,0.001,266,8.984375,0.015494567,-1.5664163,0.5993269,0.0068222797,1.2686026,-0.84741354,0.006614141
8.9,606,543,2,8.911764705882353,68,0.001,267,8.911764705882353,0.022083694,-1.6213202,0.5811174,0.0033174905,1.2627441,-0.92451936,0.004035255
8.9,639,576,2,8.875,72,0.001,269,8.875,0.014453398,-1.6860431,0.56232345,0.0054389965,1.3079132,-0.9765693,0.0052016852
