#{"t_start": 1601386371.810156, "env_id": null}
r,l,t
-999.0,999,4.985384
-999.0,999,8.132715
-999.0,999,11.295002
-999.0,999,14.368997
-869.0,869,17.042853
-612.0,612,18.967043
-401.0,401,20.261055
-356.0,356,21.418015
-457.0,457,22.839139
-360.0,360,23.968757
-268.0,268,24.77639
-310.0,310,25.730251
-202.0,202,26.365993
-215.0,215,27.015473
-192.0,192,27.632131
-163.0,163,28.135368
-195.0,195,28.766398
-201.0,201,29.446146
-156.0,156,29.945734
-208.0,208,30.570947
-215.0,215,31.228485
-156.0,156,31.729565
-153.0,153,32.225278
-156.0,156,32.731103
-193.0,193,39.509883
-151.0,151,39.97981
-118.0,118,40.370911
-152.0,152,40.862855
-154.0,154,41.353374
-161.0,161,41.880489
-221.0,221,42.598309
-153.0,153,43.102851
-157.0,157,43.605809
-153.0,153,44.104076
-149.0,149,44.557254
-148.0,148,45.044178
-150.0,150,45.530088
-157.0,157,46.04548
-203.0,203,46.670585
-912.0,912,49.671818
-420.0,420,51.066232
-442.0,442,52.477911
-469.0,469,53.962777
-497.0,497,55.536638
-519.0,519,57.23534
-345.0,345,58.305951
-198.0,198,58.908557
-541.0,541,60.618215
-179.0,179,61.216721
-270.0,270,62.112966
-172.0,172,62.690047
-198.0,198,63.301518
-284.0,284,64.154078
-304.0,304,65.133526
-246.0,246,65.894036
-311.0,311,66.903784
-201.0,201,67.519131
-150.0,150,67.974642
-211.0,211,68.614729
-188.0,188,69.230666
-119.0,119,69.614481
-200.0,200,70.260678
-157.0,157,70.776324
-274.0,274,72.253142
-274.0,274,73.138817
-174.0,174,73.707684
-233.0,233,74.407987
-192.0,192,75.005009
-221.0,221,75.697046
-252.0,252,76.448157
-396.0,396,77.66262
-355.0,355,78.7495
-180.0,180,79.285587
-180.0,180,79.853831
-181.0,181,80.457183
-259.0,259,81.303101
-191.0,191,81.977284
-270.0,270,82.883335
-231.0,231,83.647776
-251.0,251,84.486011
-253.0,253,85.301759
-176.0,176,85.847434
-183.0,183,86.408423
-182.0,182,86.966527
-232.0,232,87.684493
-171.0,171,88.21717
-147.0,147,88.667981
-205.0,205,89.291144
-178.0,178,89.777565
-234.0,234,90.391482
-141.0,141,90.76241
-203.0,203,91.329979
-174.0,174,91.808591
-200.0,200,92.360601
-152.0,152,92.77554
-187.0,187,93.290771
-190.0,190,93.812607
-172.0,172,94.282351
-211.0,211,94.86207
-170.0,170,95.325577
-179.0,179,95.819852
-145.0,145,96.218563
-150.0,150,96.621652
-148.0,148,97.013161
-212.0,212,97.58594
-145.0,145,98.015743
-148.0,148,98.48149
-148.0,148,98.994441
-312.0,312,100.011626
-229.0,229,100.8094
-156.0,156,101.330411
-147.0,147,101.839779
-152.0,152,102.360042
-152.0,152,103.671605
-224.0,224,104.37971
-156.0,156,104.86907
-230.0,230,105.628267
-173.0,173,106.222292
-151.0,151,106.731047
-220.0,220,107.494053
-151.0,151,108.013922
-151.0,151,108.530202
-153.0,153,109.052952
-232.0,232,109.787447
