n_updates,qf2_loss,ep_rewmean,episodes,mean 100 episode reward,policy_loss,ent_coef,qf1_loss,current_lr,ent_coef_loss,total timesteps,fps,time_elapsed,value_loss,eplenmean,entropy
3965,3.0549392e-05,-999.0,4,-999.0,-1.6878488,0.019139873,2.9945706e-05,0.001,-6.369442,3996,306,13,7.809145e-05,999.0,1.2534771
6203,0.00017418718,-779.25,8,-779.2,-1.04948,0.0024234862,0.00016197134,0.001,-5.9669514,6234,310,20,0.0004696502,779.25,0.8163141
7598,5.470901e-05,-635.75,12,-635.8,-0.6509352,0.00090139534,4.7746908e-05,0.001,-4.6021385,7629,312,24,4.8455007e-05,635.75,0.4866138
8370,3.9222006e-05,-525.0625,16,-525.1,-0.48131648,0.0006768571,2.2645107e-05,0.001,-2.2457733,8401,313,26,1.7126724e-05,525.0625,0.3241823
9130,9.296166e-06,-458.05,20,-458.1,-0.31970763,0.0006382284,1.9041272e-05,0.001,-0.79641664,9161,313,29,2.174602e-05,458.05,0.47947806
9810,1.5850917e-05,-410.0416666666667,24,-410.0,-0.1566276,0.0005830876,1.967513e-05,0.001,-1.6675541,9841,313,31,2.8549879e-05,410.0416666666667,0.13564974
10424,6.9764737e-06,-373.39285714285717,28,-373.4,-0.08190677,0.0005743124,1.35976425e-05,0.001,-2.2346337,10455,264,39,1.6502452e-05,373.39285714285717,0.37243104
11113,0.00019624065,-348.25,32,-348.2,0.087963834,0.00040848952,0.00019400762,0.001,-3.1559172,11144,266,41,9.610226e-06,348.25,0.5983012
11720,1.5584677e-05,-326.4166666666667,36,-326.4,0.1965651,0.0002954006,1.5568326e-05,0.001,2.26695,11751,268,43,2.9587163e-05,326.4166666666667,0.62889457
13142,2.0127622e-05,-329.325,40,-329.3,0.39739093,0.0002082915,3.794314e-05,0.001,0.7949906,13173,272,48,3.3811535e-05,329.325,0.51362264
14970,2.51222e-05,-340.9318181818182,44,-340.9,0.6626152,0.00018152526,2.2115135e-05,0.001,1.5673245,15001,276,54,1.3841494e-05,340.9318181818182,0.2815535
16573,1.1471733e-05,-345.9166666666667,48,-345.9,0.90059936,0.0003093924,6.497481e-06,0.001,-0.6000349,16604,280,59,1.6778955e-05,345.9166666666667,0.98565626
17392,1.6916387e-05,-335.0576923076923,52,-335.1,0.9825852,0.00028423546,3.3523393e-05,0.001,-3.9812717,17423,281,61,1.9298248e-05,335.0576923076923,1.1117907
18537,0.00031975255,-331.57142857142856,56,-331.6,0.9918695,0.00033428037,0.0007820659,0.001,-1.8820019,18568,283,65,0.00016240761,331.57142857142856,1.0336719
19287,0.00028534612,-321.96666666666664,60,-322.0,1.2072637,0.00035205233,0.0005186725,0.001,-5.8017364,19318,284,67,0.00016224952,321.96666666666664,0.97838163
20037,6.748931e-05,-313.5625,64,-313.6,1.2007427,0.00039403388,6.7208326e-05,0.001,2.9757433,20068,282,70,0.0003323704,313.5625,1.0548782
20910,3.1726588e-05,-307.95588235294116,68,-308.0,1.3753176,0.00045757557,7.033502e-05,0.001,1.8688395,20941,284,73,5.043266e-05,307.95588235294116,0.9286584
22134,1.865433e-05,-307.84722222222223,72,-307.8,1.4463813,0.0005808166,7.692461e-05,0.001,-1.155423,22165,286,77,7.061951e-05,307.84722222222223,0.9987778
22934,0.00018056469,-302.17105263157896,76,-302.2,1.4237347,0.00065843645,0.00012149598,0.001,0.69604015,22965,287,79,0.00054499076,302.17105263157896,0.9284396
23877,1.4559939e-05,-298.85,80,-298.9,1.7010723,0.0006508408,2.2903318e-05,0.001,-1.07705,23908,287,83,1.8901977e-05,298.85,0.98734313
24671,3.1834417e-05,-294.07142857142856,84,-294.1,1.622417,0.0005962694,4.301923e-05,0.001,0.6582869,24702,288,85,7.601001e-05,294.07142857142856,0.9637147
25426,0.0001373427,-289.28409090909093,88,-289.3,1.7713916,0.0007031619,8.85724e-05,0.001,-5.533756,25457,289,87,0.00081954256,289.28409090909093,1.0916182
26182,1.355641e-05,-284.92391304347825,92,-284.9,1.7955003,0.0008106514,4.0600447e-05,0.001,-4.393331,26213,291,89,2.9168354e-05,284.92391304347825,1.050388
26895,4.51664e-05,-280.4791666666667,96,-280.5,1.670627,0.00078977755,0.00040430878,0.001,-0.042634428,26926,292,91,0.000112735266,280.4791666666667,1.0809579
27638,2.151904e-05,-276.69,100,-276.7,1.9036429,0.0009070691,5.2321797e-05,0.001,0.41593722,27669,294,93,9.288207e-05,276.69,0.957917
28260,1.7459533e-05,-242.95,104,-242.9,1.940254,0.0009772435,8.025655e-05,0.001,3.1273005,28291,295,95,3.9006758e-05,242.95,0.9001207
28913,3.86678e-05,-227.1,108,-227.1,1.8221949,0.0010436429,0.00010536572,0.001,-0.7634609,28944,296,97,8.606142e-05,227.1,0.93089265
29757,0.00012544749,-221.59,112,-221.6,1.9797649,0.0012825982,6.7563844e-05,0.001,-2.309351,29788,296,100,8.930439e-05,221.59,0.9263358
30441,8.201157e-05,-220.71,116,-220.7,1.9251995,0.001291786,0.00017632592,0.001,0.7242328,30472,294,103,0.00043237483,220.71,0.95823264
31215,2.9965026e-05,-220.85,120,-220.8,2.078073,0.001425576,7.007194e-05,0.001,-2.4172275,31246,294,106,8.85027e-05,220.85,0.9472985
31902,0.00016392206,-220.92,124,-220.9,1.8655055,0.0014236835,0.0004116136,0.001,2.072473,31933,294,108,0.00016491022,220.92,0.85613084
32777,1.8780192e-05,-223.53,128,-223.5,1.9239507,0.0013026831,0.00029730645,0.001,1.1074939,32808,294,111,6.496421e-05,223.53,0.8895599
33404,5.259243e-05,-222.91,132,-222.9,1.9619969,0.0012540106,0.00013413822,0.001,-0.6234946,33435,295,113,0.00021507658,222.91,0.9490484
34168,0.0004798114,-224.48,136,-224.5,2.004462,0.0012626869,0.0006621918,0.001,-0.7577161,34199,295,115,0.0013093802,224.48,0.9037531
34791,8.9469264e-05,-216.49,140,-216.5,2.0035512,0.0011364892,0.00021076632,0.001,-2.0814614,34822,295,117,0.0005785597,216.49,0.9213805
35486,0.00010226205,-205.16,144,-205.2,2.2201507,0.0011968358,0.0003956444,0.001,-2.6412363,35517,295,120,0.0001409876,205.16,0.92870164
36202,9.17611e-05,-196.29,148,-196.3,2.0646822,0.0010188454,0.0001702159,0.001,-1.5804768,36233,296,122,0.0003529853,196.29,0.8792763
36966,0.00012257884,-195.74,152,-195.7,2.1681347,0.0011304946,0.0003917903,0.001,0.73611563,36997,296,124,0.0006804591,195.74,0.9916738
37582,3.79788e-05,-190.45,156,-190.4,2.30149,0.0012367443,0.00032210018,0.001,-0.13106745,37613,296,126,8.361758e-05,190.45,0.92198646
38282,0.0010530187,-189.95,160,-189.9,2.4140828,0.0013935098,0.0006482581,0.001,-2.1669917,38313,296,129,0.0004752187,189.95,1.009489
38832,4.4179673e-05,-187.95,164,-187.9,2.226897,0.0013462701,5.8136102e-05,0.001,3.7393012,38863,297,130,0.00015139648,187.95,0.9027049
39418,4.5503075e-05,-185.08,168,-185.1,2.219042,0.0014267778,0.0009621364,0.001,-0.088207185,39449,297,132,8.9867615e-05,185.08,0.915207
39966,8.2532744e-05,-178.32,172,-178.3,2.2845523,0.001386428,0.0005063777,0.001,-0.84316635,39997,297,134,0.00036332675,178.32,0.9029289
40649,4.696243e-05,-177.15,176,-177.2,2.4638267,0.0014317856,0.00019000034,0.001,0.122265995,40680,252,161,0.0001195213,177.15,0.9642085
41195,3.6230427e-05,-173.18,180,-173.2,2.344727,0.0014877187,0.00017226931,0.001,-1.225283,41226,252,162,0.00013719668,173.18,0.90619636
41666,3.5602687e-05,-169.95,184,-169.9,2.354748,0.0015430294,0.00027150608,0.001,0.5334121,41697,253,164,0.0001540413,169.95,0.8912656
42227,0.000105565436,-168.01,188,-168.0,2.3243763,0.0014862396,0.00022286143,0.001,1.1383952,42258,253,166,0.00019598458,168.01,0.8926921
42751,6.289697e-05,-165.69,192,-165.7,2.1569762,0.0015227121,0.0005731698,0.001,0.45055327,42782,253,168,0.00016960692,165.69,0.89399415
43268,1.892421e-05,-163.73,196,-163.7,2.482275,0.0015201208,0.00016375208,0.001,-3.1058378,43299,254,170,0.00012465409,163.73,0.960639
43944,0.00011842274,-163.06,200,-163.1,2.1446295,0.0016652192,0.00020183629,0.001,2.7071226,43975,255,172,0.00020139715,163.06,0.96218574
44473,0.00014806227,-162.13,204,-162.1,2.1250021,0.0017793991,0.0005581806,0.001,1.0684774,44504,255,174,0.00037639742,162.13,0.88602436
44994,0.00045636707,-160.81,208,-160.8,2.203031,0.0017002154,0.00033486137,0.001,1.2098662,45025,256,175,0.0003649688,160.81,0.8907109
45504,2.8839258e-05,-157.47,212,-157.5,2.3956304,0.0017300181,0.00014872143,0.001,-2.9712322,45535,256,177,0.00017608562,157.47,0.95876926
46045,0.00015305875,-156.04,216,-156.0,2.1979208,0.0018732457,0.000497027,0.001,-3.8269534,46076,257,179,0.0013534105,156.04,0.93011034
46515,0.00014280123,-153.0,220,-153.0,2.365146,0.0019151089,0.00039394284,0.001,0.2822678,46546,257,180,0.00018007471,153.0,0.9550583
46983,0.00012072389,-150.81,224,-150.8,2.452674,0.0018832964,0.00022237806,0.001,-0.6981971,47014,257,182,0.000103283026,150.81,0.9029502
47571,0.0002714418,-147.94,228,-147.9,2.1685247,0.0019440888,0.0010013573,0.001,0.67872715,47602,258,184,0.00041866364,147.94,0.90993005
48049,7.01616e-05,-146.45,232,-146.4,2.2949831,0.00189965,0.0007453556,0.001,0.0273242,48080,258,185,0.0005965178,146.45,0.92139494
48560,4.670416e-05,-143.92,236,-143.9,2.101297,0.0020342248,0.00033375007,0.001,2.2978234,48591,259,187,0.00039244402,143.92,0.8467085
49030,0.00013607222,-142.39,240,-142.4,2.2898042,0.0020261966,0.000106441694,0.001,-2.0426805,49061,259,189,0.00013369914,142.39,0.9271668
49514,0.0002672773,-140.28,244,-140.3,2.3058674,0.0020322287,0.0005048814,0.001,-1.1957183,49545,259,190,0.00038481515,140.28,0.9050784
50020,0.00025569476,-138.18,248,-138.2,2.4560013,0.0021067725,0.00045227451,0.001,-0.18432796,50051,224,222,0.00071215694,138.18,0.91628754
50534,6.599547e-05,-135.68,252,-135.7,2.4013906,0.002119809,0.00029081161,0.001,0.625365,50565,225,224,0.0002614899,135.68,0.95027477
51092,3.7329526e-05,-135.1,256,-135.1,2.4812143,0.0020339882,0.00014698351,0.001,0.10573202,51123,226,226,0.00014532341,135.1,0.92295825
